id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count,retweets_count,replies_count.1,cleaned_review,sentiment_polarity,sentiment,sentiment_int
1339587433780809731,kelmanlawcrypto,2020-12-17,20:35:07,"#Microsoft, #EY Expand Blockchain Platform for Gaming Rights to Include Payments  For the creation of new contracts, Microsoft will be using [#AI] powered by Microsoft #Azure.   https://t.co/mX8X9fSIpd  Via @CoinDesk #payments #videogames #blockchain #adoption #Xbox #royalties",1273991249389924352,530,['CoinDesk'],"['Microsoft', 'EY', 'AI', 'Azure', 'payments', 'videogames', 'blockchain', 'adoption', 'Xbox', 'royalties']",0,0,2,0,microsoft ey expand blockchain platform for gaming rights to include payments for the creation of new contracts microsoft will be using ai powered by microsoft azure via coindesk payments videogames blockchain adoption xbox royalties,0.13636363636363635,Positive,1
1339269299710685188,gooner4lif,2020-12-16,23:30:58,Xbox will now use #blockchain for #gaming #rights &amp; #royalties  https://t.co/IPWRh2GIuv #Microsoft @Microsoft #accounting #ERP #finance #contractmanagement #game #entertainment #EY @EYnews #world #people #developer #gamedeveloper #tech #technology #artificalintelligence #AI,157875413,530,"['Microsoft', 'EYnews']","['blockchain', 'gaming', 'rights', 'royalties', 'Microsoft', 'accounting', 'ERP', 'finance', 'contractmanagement', 'game', 'entertainment', 'EY', 'world', 'people', 'developer', 'gamedeveloper', 'tech', 'technology', 'artificalintelligence', 'AI']",0,1,1,0,xbox will now use blockchain for gaming rights amp royalties microsoft microsoft accounting erp finance contractmanagement game entertainment ey eynews world people developer gamedeveloper tech technology artificalintelligence ai,-0.4,Negative,-1
1338952398384082945,_n3stor,2020-12-16,02:31:42,EY and Microsoft Expand Xbox Enterprise Blockchain Platform for Rights and Royalties Management.  https://t.co/jocn3F3X1k via @BusinessWire CC: @EYnews #EY #Microsoft #Blockchain #Azure #AI,4441171587,530,"['BusinessWire', 'EYnews']","['EY', 'Microsoft', 'Blockchain', 'Azure', 'AI']",0,1,2,0,ey and microsoft expand xbox enterprise blockchain platform for rights and royalties management via businesswire cc eynews ey microsoft blockchain azure ai,0.0,Neutral,0
1338899133902544897,alexfc007,2020-12-15,23:00:03,"new #AI use case as cloud service, #EY platform hosted on IBM Cloud and using IBM #Watson Discovery to reframe the future of M&amp;A due diligence #ibmcloud #KI  https://t.co/Lrz7OZxsdO",257589477,530,[],"['AI', 'EY', 'Watson', 'ibmcloud', 'KI']",0,0,1,0,new ai use case as cloud service ey platform hosted on ibm cloud and using ibm watson discovery to reframe the future of mampa due diligence ibmcloud ki,0.0037878787878787845,Neutral,0
1337009261067563008,thomaslutz,2020-12-10,17:50:22,Eine neue #EY Studie zeigt den öffentlichen Sektor in Österreich beim Thema Künstliche Intelligenz auf einem guten Weg. Allerdings werden die Potentiale bei weitem nicht ausgeschöpft.  #AI #KI Kathrin Wacker  https://t.co/OAkRExPhl5,57291114,530,[],"['EY', 'AI', 'KI']",0,0,0,0,eine neue ey studie zeigt den ffentlichen sektor in sterreich beim thema knstliche intelligenz auf einem guten weg allerdings werden die potentiale bei weitem nicht ausgeschpft ai ki kathrin wacker,0.0,Neutral,0
1336887858624253954,aczw900,2020-12-10,09:47:58,Our baby MAKING HEADLINES on BLOOMBERG!!! #tech #AI #ibmcloud #EY  https://t.co/mu83ahblV2,2419944702,530,[],"['tech', 'AI', 'ibmcloud', 'EY']",0,0,0,0,our baby making headlines on bloomberg tech ai ibmcloud ey,0.0,Neutral,0
1336471888730742786,omarramirezorti,2020-12-09,06:15:03,#EY Diligence Edge diseñado para revolucionar los procesos de due diligence en las fusiones y adquisiciones (M&amp;A) con la incorporación de inteligencia artificial.  https://t.co/FKCFW8QZl9 #AI #EcosystemValueRealized  #IBM,206698503,530,[],"['EY', 'AI', 'EcosystemValueRealized', 'IBM']",0,0,0,0,ey diligence edge diseado para revolucionar los procesos de due diligence en las fusiones y adquisiciones mampa con la incorporacin de inteligencia artificial ai ecosystemvaluerealized ibm,-0.3625,Negative,-1
1336363209440301064,jeff__wong,2020-12-08,23:03:12,"Driving successful #AI business strategies relies on robust ethical practices to enforce #trust, transparency and privacy. Great to see #EY recognized as a global leader in @Forbes in building AI trust through our comprehensive TrustedAI framework.  https://t.co/0wGvUtZsVt",3285755682,530,['Forbes'],"['AI', 'trust', 'EY']",0,6,0,0,driving successful ai business strategies relies on robust ethical practices to enforce trust transparency and privacy great to see ey recognized as a global leader in forbes in building ai trust through our comprehensive trustedai framework,0.4375,Positive,1
1334427510348582917,ey_cyprus,2020-12-03,14:51:25,"#EY releases findings from global survey Bridging AI’s trust gaps report, including significant differences in how the public and private sectors view the future of ethics, governance, privacy, policy and regulation of #AI technologies. Read More:  https://t.co/7SLZR2f2q3  https://t.co/mnkatxZp9P",1565718301,530,[],"['EY', 'AI']",0,1,0,0,ey releases findings from global survey bridging ais trust gaps report including significant differences in how the public and private sectors view the future of ethics governance privacy policy and regulation of ai technologies read more,0.14583333333333334,Positive,1
1331255238590918662,luminancetech,2020-11-24,20:45:57,@lawdotcom has announced that @EYnews Law are using Luminance's AI to process thousands of contracts before the LIBOR transition deadline.  Read more on  https://t.co/kIzHlG8zXb here:  https://t.co/BsdMaQo2Uu  #legalAI #lawtech #AI #EY #bigfour #LIBOR #libortransition,3429995201,530,"['lawdotcom', 'EYnews']","['legalAI', 'lawtech', 'AI', 'EY', 'bigfour', 'LIBOR', 'libortransition']",0,0,0,0,lawdotcom has announced that eynews law are using luminances ai to process thousands of contracts before the libor transition deadline read more on here legalai lawtech ai ey bigfour libor libortransition,0.5,Positive,1
