id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count,retweets_count,replies_count.1,urls,cleaned_review,sentiment_polarity,sentiment,sentiment_int
1340446160373379072,mehildenbrand,2020-12-20,05:27:23,We are excited to introduce the Vertex Indirect Tax Chain Flow Accelerator for @SAP ERP! Learn how this #tax solution reduces reliance on #IT support and improves #VAT determination accuracy:   https://t.co/dAlViO6aAC  https://t.co/hrvu5D1e8x,330515074,530,['SAP'],"['tax', 'IT', 'VAT']",0,0,0,0,['https://bit.ly/38kHueX'],we are excited to introduce the vertex indirect tax chain flow accelerator for sap erp learn how this tax solution reduces reliance on it support and improves vat determination accuracy,0.375,Positive,1
1340444649375358977,slymd83,2020-12-20,05:21:23,As you get ready to file your federal #tax return there are new things to consider when it comes to which credits to claim and what deductions to take. @SquireCPA  https://t.co/JT66IM2nRp,90336553,530,['SquireCPA'],['tax'],0,1,0,0,['http://CVSoci.al/eN7uIEMw'],as you get ready to file your federal tax return there are new things to consider when it comes to which credits to claim and what deductions to take squirecpa,0.16818181818181818,Positive,1
1340443018009190402,inktomi544,2020-12-20,05:14:54,@Jay_USMC2 @LuannaSheridan1 #TAX ALL CHURCHES STAT #ENOUGH OF THE GRIFT #TAX STAT,22839624,530,"['Jay_USMC2', 'LuannaSheridan1']","['TAX', 'ENOUGH', 'TAX']",1,6,2,1,[],jayusmc2 luannasheridan1 tax all churches stat enough of the grift tax stat,0.0,Neutral,0
1340442536549076992,followmechina,2020-12-20,05:12:59,A fine is a tax for doing #wrong. A #tax is a fine for doing well.,462111336,530,[],"['wrong', 'tax']",0,0,0,0,[],a fine is a tax for doing wrong a tax is a fine for doing well,0.11111111111111112,Positive,1
1340442085242056705,philfparkinson,2020-12-20,05:11:11,Having a @CraftyElk while I move the boxes around and create some #tax #art. #supportlocalbusiness such as #craftyelk! #saturdayvibes😎  https://t.co/hsyAK7RryV,33440277,530,['CraftyElk'],"['tax', 'art', 'supportlocalbusiness', 'craftyelk', 'saturdayvibes']",0,2,0,0,[],having a craftyelk while i move the boxes around and create some tax art supportlocalbusiness such as craftyelk saturdayvibes,0.0,Neutral,0
1340442046524342272,annagreer3,2020-12-20,05:11:02,"If you are one of the many #restaurant owners facing another round of dining shutdowns, make sure to take advantage of the employee retention #tax credit. Read @BDORestaurant's blog to learn how you can still utilize this credit:  https://t.co/6qZ2wzMFW4  https://t.co/RK8P3J4Al8",509173553,530,['BDORestaurant'],"['restaurant', 'tax']",0,0,0,0,['https://bit.ly/2LTR4xR'],if you are one of the many restaurant owners facing another round of dining shutdowns make sure to take advantage of the employee retention tax credit read bdorestaurants blog to learn how you can still utilize this credit,0.26666666666666666,Positive,1
1340440707832623114,hawkinsashcpas,2020-12-20,05:05:43,Want to learn how you can maximize your Roth IRA benefits? Listen to this podcast going into detail about Roth strategies and conversions:   https://t.co/dnwT3XP1Yi  #tax #taxtips #benefits #podcast  https://t.co/lirDWjAMGc,32492648,530,[],"['tax', 'taxtips', 'benefits', 'podcast']",0,1,0,0,['http://bit.ly/2VChCUa'],want to learn how you can maximize your roth ira benefits listen to this podcast going into detail about roth strategies and conversions tax taxtips benefits podcast,0.0,Neutral,0
1340436948490448896,nfib_wa,2020-12-20,04:50:47,"ICYMI—With thousands of WA #smallbiz closed or on the brink of ruin, and their employees out of #jobs, as a direct result of Gov. Inslee’s #mandates, we can’t afford his reckless new #tax increases and oppressive #regulatory proposals. More &gt;&gt;  https://t.co/rg6XjAZENp #waleg",66347449,530,[],"['smallbiz', 'jobs', 'mandates', 'tax', 'regulatory', 'waleg']",1,1,2,1,['http://bit.ly/34r1Jq1'],icymiwith thousands of wa smallbiz closed or on the brink of ruin and their employees out of jobs as a direct result of gov inslees mandates we cant afford his reckless new tax increases and oppressive regulatory proposals more gtgt waleg,0.1590909090909091,Positive,1
1340435627788152832,finplan,2020-12-20,04:45:32,"With President-elect Biden aiming to raise a number of levies, now is the time to take steps that could lower tax bills, #tax professionals say.  https://t.co/lV9UbMFfMB",21792210,530,[],['tax'],0,1,1,0,['https://trib.al/1fHc4sY'],with presidentelect biden aiming to raise a number of levies now is the time to take steps that could lower tax bills tax professionals say,0.0,Neutral,0
1340433524680241154,kpmg_ng,2020-12-20,04:37:10,"Nike James, Partner, Tax, KPMG_NG, at the Q&amp;A session of the #KPMGTaxChat, Dec. 2020. (Q1.) With the RMAFC audit drive, why would the FIRS not object to RMAFC creeping into their role?  (Q2.) As a company, are we advised to comply with the RMAFC investigation for audit? #tax",259715661,530,[],"['KPMGTaxChat', 'tax']",0,6,1,0,[],nike james partner tax kpmgng at the qampa session of the kpmgtaxchat dec 2020 q1 with the rmafc audit drive why would the firs not object to rmafc creeping into their role q2 as a company are we advised to comply with the rmafc investigation for audit tax,0.0,Neutral,0
