id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count,retweets_count,replies_count.1,urls,cleaned_review,sentiment_polarity,sentiment,sentiment_int
1322282126922911752,deloitte,2020-10-31,02:30:00,Learn about the global developments that are benefiting business by subscribing to our Global Investment and Innovation Incentive Update.  https://t.co/ukMC6RxbAT,8457092,530,[],[],0,9,1,0,['https://deloi.tt/3dXsd6g'],learn about the global developments that are benefiting business by subscribing to our global investment and innovation incentive update,0.0,Neutral,0
1322267032742776833,deloitte,2020-10-31,01:30:01,#Manufacturers who were able to pivot this year were could meet urgent needs such as #PPE. The game changer was implementing an ecosystem approach. More in our report. #Industry40  https://t.co/IZhpqAktoB  https://t.co/qQRbptRywb,8457092,530,[],"['Manufacturers', 'PPE', 'Industry40']",0,14,2,0,['https://deloi.tt/37IAKZI'],manufacturers who were able to pivot this year were could meet urgent needs such as ppe the game changer was implementing an ecosystem approach more in our report industry40,0.15,Positive,1
1322221741138202626,deloitte,2020-10-30,22:30:03,Pleased to share Deloitte has been named a leader in Oracle SaaS Business Apps in The Forrester Wave for Q4 2020.  https://t.co/ipmnyxj3F3,8457092,530,[],[],0,17,2,0,['https://deloi.tt/2TOHL37'],pleased to share deloitte has been named a leader in oracle saas business apps in the forrester wave for q4 2020,0.5,Positive,1
1322211662804492289,deloitte,2020-10-30,21:50:00,"Join today for what will be an enlightening discussion on #cyber impact between leading cyber minds, including Deloitte's Emily Mossburg, all for the benefit of Youth Inc.!  https://t.co/Lte38aKFUo",8457092,530,[],['cyber'],1,9,0,1,['https://deloi.tt/2HMIyyQ'],join today for what will be an enlightening discussion on cyber impact between leading cyber minds including deloittes emily mossburg all for the benefit of youth inc,0.3,Positive,1
1322191537112027138,deloitte,2020-10-30,20:30:02,"Disrupt or be disrupted: Our new series explores opportunities on the horizon after a year of challenges for the #oil, #gas, and #chemicals industry.  https://t.co/8mzR3XKS1h",8457092,530,[],"['oil', 'gas', 'chemicals']",0,3,0,0,['https://deloi.tt/34ER3EU'],disrupt or be disrupted our new series explores opportunities on the horizon after a year of challenges for the oil gas and chemicals industry,0.13636363636363635,Positive,1
1322176433494626306,deloitte,2020-10-30,19:30:01,📢 JUST RELEASED: Check out the latest Global Investment and Innovation Incentive Update to learn how Australia 🇦🇺 backtracked on amendments to their R&amp;D #TaxIncentive.  https://t.co/6MxObsGFYA,8457092,530,[],['TaxIncentive'],1,4,0,1,['https://deloi.tt/3mm3wTO'],just released check out the latest global investment and innovation incentive update to learn how australia backtracked on amendments to their rampd taxincentive,0.25,Positive,1
1322161332842569728,deloitte,2020-10-30,18:30:00,166 Deloitte professionals have been recognized in the 2021 Tax Controversy Leaders Guide for their commitment to helping clients navigate the evolving global tax regulatory environment.  https://t.co/734EK9mHVa,8457092,530,[],[],0,6,2,0,['https://deloi.tt/2JfUnxX'],166 deloitte professionals have been recognized in the 2021 tax controversy leaders guide for their commitment to helping clients navigate the evolving global tax regulatory environment,0.0,Neutral,0
1321951699402194945,deloitte,2020-10-30,04:37:00,Kudos to 152 Deloitte leaders recognized by @IntlTaxReview in the 2021 Indirect Tax Leaders guide. Deloitte is proud of the value they bring to our clients.  https://t.co/lc577v8sPA,8457092,530,['IntlTaxReview'],[],0,12,1,0,['https://deloi.tt/3mzXgIs'],kudos to 152 deloitte leaders recognized by intltaxreview in the 2021 indirect tax leaders guide deloitte is proud of the value they bring to our clients,0.8,Positive,1
1321904648576507905,deloitte,2020-10-30,01:30:02,"At Deloitte Financial Advisory, we’re supporting our employees to develop their strengths through limitless opportunities to grow their careers.  https://t.co/DbkJUJQn7e  https://t.co/YykMq97tI6",8457092,530,[],[],1,23,2,1,['https://deloi.tt/37QhLMG'],at deloitte financial advisory were supporting our employees to develop their strengths through limitless opportunities to grow their careers,0.125,Positive,1
1321889543939858432,deloitte,2020-10-30,00:30:01,Deloitte shares that an ecosystem approach to #smartmanufacturing is twice as likely to create value through additional capabilities the partners bring. Learn more. #I40 #SmartFactory  https://t.co/DRRD68pCgk  https://t.co/bHmfcxagy0,8457092,530,[],"['smartmanufacturing', 'I40', 'SmartFactory']",0,8,5,0,['https://deloi.tt/2TyBats'],deloitte shares that an ecosystem approach to smartmanufacturing is twice as likely to create value through additional capabilities the partners bring learn more i40 smartfactory,0.25,Positive,1
1321859351259262978,deloitte,2020-10-29,22:30:02,"Deloitte receives top accolades with 8 wins in @IntlTaxReview’s 15th edition of Americas Tax Awards 2020, including Tax Technology firm of the year and the Tax Compliance &amp; Reporting firm of the year.  https://t.co/8ZlpiAOW7q",8457092,530,['IntlTaxReview'],[],0,5,2,0,['https://deloi.tt/31SkRfB'],deloitte receives top accolades with 8 wins in intltaxreviews 15th edition of americas tax awards 2020 including tax technology firm of the year and the tax compliance amp reporting firm of the year,0.10000000000000002,Positive,1
