id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count,retweets_count,replies_count.1,cleaned_review,sentiment_polarity,sentiment,sentiment_int
1322671944244875264,eymanufacturing,2020-11-01,04:19:00,"#COVID19 impacted #manufacturing and #SupplyChains and as a result innovation labs and #DistributedManufacturing are becoming vital to small, non-traditional businesses. Learn how MyFabLab is helping to innovate.  https://t.co/xh4jqgLpRh #BetterWorkingWorld #3DPrinting",1061963386571739137,530,[],"['COVID19', 'manufacturing', 'SupplyChains', 'DistributedManufacturing', 'BetterWorkingWorld', '3DPrinting']",0,0,0,0,covid19 impacted manufacturing and supplychains and as a result innovation labs and distributedmanufacturing are becoming vital to small nontraditional businesses learn how myfablab is helping to innovate betterworkingworld 3dprinting,0.10000000000000002,Positive,1
1322620102961963009,eymanufacturing,2020-11-01,00:53:00,How can #chemical co's plot a post-pandemic future? How do they balance the need for minimizing costs in their #SupplyChain with the need for agility &amp; flexibility? What will demand look like? Find answers to these questions and more  https://t.co/57sZzRhaj0 #AdvancedManufacturing,1061963386571739137,530,[],"['chemical', 'SupplyChain', 'AdvancedManufacturing']",0,0,0,0,how can chemical cos plot a postpandemic future how do they balance the need for minimizing costs in their supplychain with the need for agility amp flexibility what will demand look like find answers to these questions and more advancedmanufacturing,0.25,Positive,1
1322575600738013192,eymanufacturing,2020-10-31,21:56:10,"When it comes to creating the factories of the future, it’s time for #manufacturers to get out of pilot mode and deliver real change at scale. Lisa Caldwell, our Americas Central Region Advisory Managing Partner, explores how via @Forbes  #EYSmartFactory   https://t.co/RlkzQrNsiF  https://t.co/hOgAznHzyy",1061963386571739137,530,['Forbes'],"['manufacturers', 'EYSmartFactory']",0,0,0,0,when it comes to creating the factories of the future its time for manufacturers to get out of pilot mode and deliver real change at scale lisa caldwell our americas central region advisory managing partner explores how via forbes eysmartfactory,0.06666666666666667,Neutral,0
1322528528378843137,eymanufacturing,2020-10-31,18:49:07,"To recover through the pandemic and what’s next, organizations must be able to plan the unthinkable and identity the steps needed to build a #BetterWorkingWorld. #ReframeYourFuture    https://t.co/RZHn98D1io  https://t.co/DjA0YIuCU2",1061963386571739137,530,[],"['BetterWorkingWorld', 'ReframeYourFuture']",0,0,0,0,to recover through the pandemic and whats next organizations must be able to plan the unthinkable and identity the steps needed to build a betterworkingworld reframeyourfuture,0.15,Positive,1
1322491757028872192,eymanufacturing,2020-10-31,16:23:00,"Find out why leaders must evaluate the weak signals that remain at the periphery of their vision and may become the greatest trends of future impacting business, customers and operations. Read on  https://t.co/nh63mscAVL  #BetterWorkingWorld",1061963386571739137,530,[],['BetterWorkingWorld'],0,0,0,0,find out why leaders must evaluate the weak signals that remain at the periphery of their vision and may become the greatest trends of future impacting business customers and operations read on betterworkingworld,0.20833333333333334,Positive,1
1322310312310263808,eymanufacturing,2020-10-31,04:22:00,"Sustainability is a business imperative across all industries. But what if we could plan our products so they don’t end up as waste? @RandyMiller_EY, our Global Advanced Manufacturing &amp; Mobility Leader, shares more:  https://t.co/lQtKjAcxxM  #BetterWorkingWorld #CircularEconomy",1061963386571739137,530,['RandyMiller_EY'],"['BetterWorkingWorld', 'CircularEconomy']",0,2,0,0,sustainability is a business imperative across all industries but what if we could plan our products so they dont end up as waste randymillerey our global advanced manufacturing amp mobility leader shares more betterworkingworld circulareconomy,0.175,Positive,1
1322257718657323008,eymanufacturing,2020-10-31,00:53:01,"Amid #COVID19, what steps can #chemical companies take to improve their liquidity? Read our report here:  https://t.co/GEodU9SoCA #WorkingCapital #AdvancedManufacturing  https://t.co/K1wkH2AF9E",1061963386571739137,530,[],"['COVID19', 'chemical', 'WorkingCapital', 'AdvancedManufacturing']",0,0,0,0,amid covid19 what steps can chemical companies take to improve their liquidity read our report here workingcapital advancedmanufacturing,0.0,Neutral,0
1322214683441594371,eymanufacturing,2020-10-30,22:02:00,"Lisa Caldwell, our Americas Central Region Advisory Managing Partner, shares via @Forbes, 5 big issues #manufacturers should keep top of mind to expand and maintain a healthy future:  1. Workforce 2. Innovation 3. Trade  4. Industry 4.0 5. Suppy chain   https://t.co/NAWDkcVov3",1061963386571739137,530,['Forbes'],['manufacturers'],0,1,0,0,lisa caldwell our americas central region advisory managing partner shares via forbes 5 big issues manufacturers should keep top of mind to expand and maintain a healthy future 1 workforce 2 innovation 3 trade 4 industry 40 5 suppy chain,0.2,Positive,1
1322186244722466818,eymanufacturing,2020-10-30,20:09:00,"Tariff wars, regulatory uncertainty and the #COVID19 pandemic have all severely tested the global trade system. In his latest blog, @ShaunCrawfordEY considers how we got here and why a currency of #trust is vital to recovery. Read now:  https://t.co/VEmPkOQVev #BetterWorkingWorld",1061963386571739137,530,['ShaunCrawfordEY'],"['COVID19', 'trust', 'BetterWorkingWorld']",0,0,0,0,tariff wars regulatory uncertainty and the covid19 pandemic have all severely tested the global trade system in his latest blog shauncrawfordey considers how we got here and why a currency of trust is vital to recovery read now betterworkingworld,0.19999999999999998,Positive,1
1322165106675953665,eymanufacturing,2020-10-30,18:45:00,Does your factory floor have a robust waterfall management strategy in effect? @SachinLulla shares his latest insights:  https://t.co/4Z6qfuQsev #EYSmartFactory,1061963386571739137,530,['SachinLulla'],['EYSmartFactory'],0,0,2,0,does your factory floor have a robust waterfall management strategy in effect sachinlulla shares his latest insights eysmartfactory,0.5,Positive,1
