id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count,retweets_count,replies_count.1,urls,cleaned_review,sentiment_polarity,sentiment,sentiment_int
1322479177463926784,ey_india,2020-10-31,15:33:01,Learn how #EY secured a #digital future for a global IT-services company  https://t.co/pDp5thbHJx #TransformationRealized  https://t.co/8meN8Iq6DV,250391704,530,[],"['EY', 'digital', 'TransformationRealized']",0,5,0,0,['http://spr.ly/6015GhPJ9'],learn how ey secured a digital future for a global itservices company transformationrealized,0.0,Neutral,0
1322455772979187717,ey_india,2020-10-31,14:00:00,"Private investments worth US$28.9 billion across 686 deals reported between January to September 2020, reveals EY, @IndianVCA PE/VC monthly roundup. Read more at  https://t.co/Wr0y4WQQbG #EYTransactions #PrivateEquity @VivekSoni75  https://t.co/Al2pXCWeY4",250391704,530,"['IndianVCA', 'VivekSoni75']","['EYTransactions', 'PrivateEquity']",0,7,4,0,['http://spr.ly/6015Gh3gZ'],private investments worth us289 billion across 686 deals reported between january to september 2020 reveals ey indianvca pevc monthly roundup read more at eytransactions privateequity viveksoni75,0.26666666666666666,Positive,1
1322413276333047810,ey_india,2020-10-31,11:11:08,"Arindam Sen, EY India Partner, Consulting Services discusses how organizations are incorporating culture into the current scenario of remote working. Listen to the #podcast here  https://t.co/vSIHseudvM #COVID19  https://t.co/wlwnoxVkXR",250391704,530,[],"['podcast', 'COVID19']",0,0,0,0,['http://spr.ly/6017GhOtH'],arindam sen ey india partner consulting services discusses how organizations are incorporating culture into the current scenario of remote working listen to the podcast here covid19,-0.05,Neutral,0
1322183982948208640,ey_india,2020-10-30,20:00:01,"In the latest issue of #EYEconomyWatch, we explore why India may witness one of its worst growth outcomes in FY21 despite a historically high fiscal deficit  https://t.co/MzyjyV1P0H  https://t.co/YobY61vqfK",250391704,530,[],['EYEconomyWatch'],1,5,1,1,['http://spr.ly/6017Gh3Hv'],in the latest issue of eyeconomywatch we explore why india may witness one of its worst growth outcomes in fy21 despite a historically high fiscal deficit,-0.11333333333333333,Negative,-1
1322146244840558598,ey_india,2020-10-30,17:30:03,"A better, revamped version of the EY #IndiaTaxInsights app is here! Download now for the latest and the most relevant updates from the world of tax. Visit  https://t.co/ebKhdFuN8M for more details #EYTax  https://t.co/0sXZhnTPk3",250391704,530,[],"['IndiaTaxInsights', 'EYTax']",0,3,1,0,['http://spr.ly/6012GhzRK'],a better revamped version of the ey indiataxinsights app is here download now for the latest and the most relevant updates from the world of tax visit for more details eytax,0.48,Positive,1
1322123584102404096,ey_india,2020-10-30,16:00:00,Our latest thought leadership from the metals &amp; mining sector explores how revival in #steel and capital goods manufacturing can create cross-sector economic growth  https://t.co/uCe8MPn7V7  https://t.co/XpKje2fYfZ,250391704,530,[],['steel'],0,2,0,0,['http://spr.ly/6018GhKok'],our latest thought leadership from the metals amp mining sector explores how revival in steel and capital goods manufacturing can create crosssector economic growth,0.35,Positive,1
1322032985097621506,ey_india,2020-10-30,10:00:00,"An #integrity led business ecosystem, focusing on #ethics and transparency can help organizations navigate the ongoing crisis and thrive in the long run#EYForensics @CNBCTV18News  https://t.co/YTWo1HEbjj",250391704,530,['CNBCTV18News'],"['integrity', 'ethics', 'EYForensics']",0,1,0,0,['http://spr.ly/6017GCtsS'],an integrity led business ecosystem focusing on ethics and transparency can help organizations navigate the ongoing crisis and thrive in the long runeyforensics cnbctv18news,-0.05,Neutral,0
1321725719588835329,ey_india,2020-10-29,13:39:02,#COVID-19 has increased #cyber and #datasecurity risks as the shift to remote working have provided cyber criminals with easy targets. Read #EYForensics viewpoint in @CNBCTV18News  https://t.co/okkV7XIexC,250391704,530,['CNBCTV18News'],"['COVID', 'cyber', 'datasecurity', 'EYForensics']",0,1,0,0,['http://spr.ly/6010GCtoE'],covid19 has increased cyber and datasecurity risks as the shift to remote working have provided cyber criminals with easy targets read eyforensics viewpoint in cnbctv18news,0.16666666666666669,Positive,1
1321365563764051968,ey_india,2020-10-28,13:47:54,How can increased awareness amongst #CISOs protect the organizations and make them #cyber resilient? Connect with us  https://t.co/kapiKaO4ZO #CybersecurityAwarenessMonth  https://t.co/BXMuWMvrrT,250391704,530,[],"['CISOs', 'cyber', 'CybersecurityAwarenessMonth']",0,4,1,0,['http://spr.ly/6016GCnJk'],how can increased awareness amongst cisos protect the organizations and make them cyber resilient connect with us cybersecurityawarenessmonth,0.0,Neutral,0
1321333342218977280,ey_india,2020-10-28,11:39:52,EY has advised on 10 successful deals in the financial services sector during the last two years in India. Thank you for making us the most trusted Financial Advisors in India across league tables for 15 years in a row. #EYTransactions @Amit_EYTAS  https://t.co/8g9ZdwRcnh,250391704,530,['Amit_EYTAS'],['EYTransactions'],0,15,2,0,[],ey has advised on 10 successful deals in the financial services sector during the last two years in india thank you for making us the most trusted financial advisors in india across league tables for 15 years in a row eytransactions amiteytas,0.25,Positive,1
