id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count,retweets_count,replies_count.1,urls,cleaned_review,sentiment_polarity,sentiment,sentiment_int
1322176699702935553,kpmg,2020-10-30,19:31:04,"What does @Adrian_Poole1, @googlecloud Head of #FinancialServices UKI, expect to see for the future of #fintech? Find out in our #PulseofFintech Q&amp;A:  https://t.co/1U34RhaRur  https://t.co/m4b93C3NIv",267939430,530,"['Adrian_Poole1', 'googlecloud']","['FinancialServices', 'fintech', 'PulseofFintech']",2,13,6,2,['https://social.kpmg/drxg2'],what does adrianpoole1 googlecloud head of financialservices uki expect to see for the future of fintech find out in our pulseoffintech qampa,0.0,Neutral,0
1321917069936500745,kpmg,2020-10-30,02:19:24,Do you know what apps are on your kid’s phone and how they’re used?  https://t.co/ircCQyMLZq,267939430,530,[],[],0,9,3,0,['https://social.kpmg/65bxy'],do you know what apps are on your kids phone and how theyre used,0.0,Neutral,0
1321844553146601475,kpmg,2020-10-29,21:31:14,A recent study by @KPMG_NL and @MottMacDonald  evaluates the application of several leading #sustainability standards on existing #infrastructure development projects. View the findings:  https://t.co/zZh1xHAO69 #KPMGIMPACT,267939430,530,"['KPMG_NL', 'MottMacDonald']","['sustainability', 'infrastructure', 'KPMGIMPACT']",0,14,4,0,['https://social.kpmg/h2h3y'],a recent study by kpmgnl and mottmacdonald evaluates the application of several leading sustainability standards on existing infrastructure development projects view the findings kpmgimpact,0.0,Neutral,0
1321814253330976778,kpmg,2020-10-29,19:30:50,Private sector pandemic trends. Read more Insights from our #CEOoutlook for government:  https://t.co/npRUMFsrOd,267939430,530,[],['CEOoutlook'],1,4,7,1,['https://social.kpmg/69a3v'],private sector pandemic trends read more insights from our ceooutlook for government,0.25,Positive,1
1321799108764573697,kpmg,2020-10-29,18:30:40,The Golden Age of #universities is ending. The future is 'customer centric.'  https://t.co/VOafLpC9W0  https://t.co/fLxyrCe4lF,267939430,530,[],['universities'],1,8,6,1,['https://social.kpmg/k5n2b'],the golden age of universities is ending the future is customer centric,0.09999999999999999,Neutral,0
1321149814072115200,kpmg,2020-10-27,23:30:36,"When downloading apps, make sure you get them from a trusted and secure source. If you don’t, you risk downloading a virus. Learn more:  https://t.co/fZsRh1kWDp  https://t.co/GWraKColP3",267939430,530,[],[],0,4,9,0,['https://social.kpmg/p73n5'],when downloading apps make sure you get them from a trusted and secure source if you dont you risk downloading a virus learn more,0.4666666666666666,Positive,1
1321116527056375809,kpmg,2020-10-27,21:18:19,Tax planning for the transfer of a #familybusiness needs to be part of an overall planning process. Read our latest report for a blueprint to follow:  https://t.co/RlMdqO15c8  https://t.co/2qaM1RkkxK,267939430,530,[],['familybusiness'],0,4,3,0,['https://social.kpmg/8j3q3'],tax planning for the transfer of a familybusiness needs to be part of an overall planning process read our latest report for a blueprint to follow,0.25,Positive,1
1321074345117102084,kpmg,2020-10-27,18:30:42,Are you looking for key guidance on how to prepare and present consolidated financial statements? Join the webcast on Nov 4 at 12:00 p.m. EST to learn more at  https://t.co/qlgnTRQTCv  #audit #kpmgfrv #consolidation #accounting  https://t.co/t4nodJyuhK,267939430,530,[],"['audit', 'kpmgfrv', 'consolidation', 'accounting']",0,14,2,0,['https://social.kpmg/l8m4m'],are you looking for key guidance on how to prepare and present consolidated financial statements join the webcast on nov 4 at 1200 pm est to learn more at audit kpmgfrv consolidation accounting,0.125,Positive,1
1319667201587163136,kpmg,2020-10-23,21:19:13,How has the impact of COVID-19 increased the pressure on business families when they look to transition their business to the next generation?  https://t.co/RlMdqO15c8 #familybusiness  https://t.co/Ysw4Dm7T4C,267939430,530,[],['familybusiness'],2,11,8,2,['https://social.kpmg/8j3q3'],how has the impact of covid19 increased the pressure on business families when they look to transition their business to the next generation familybusiness,0.0,Neutral,0
1319653818888572933,kpmg,2020-10-23,20:26:03,"Battle in Southeast Asia continues: 3 of the top 10 #fintech deals are from India, while the top US$3 billion deal is seen in Indonesia:  https://t.co/MykP7cXgRb  #fintechpulse",267939430,530,[],"['fintech', 'fintechpulse']",0,14,13,0,['https://social.kpmg/yy8u2'],battle in southeast asia continues 3 of the top 10 fintech deals are from india while the top us3 billion deal is seen in indonesia fintechpulse,0.5,Positive,1
1319377961141870592,kpmg,2020-10-23,02:09:53,Cyber criminals are hoping you will take the bait and give them your sensitive personal information. Which of the following is an example of a ‘phishing’ attack?  https://t.co/ircCQyMLZq,267939430,530,[],[],0,11,5,0,['https://social.kpmg/65bxy'],cyber criminals are hoping you will take the bait and give them your sensitive personal information which of the following is an example of a phishing attack,0.03333333333333333,Neutral,0
1319217014913798144,kpmg,2020-10-22,15:30:20,KPMG reelects Bill Thomas as Global Chairman &amp; CEO.  https://t.co/CwWhirL7sh,267939430,530,[],[],1,69,18,1,['https://social.kpmg/9hs7w'],kpmg reelects bill thomas as global chairman amp ceo,0.0,Neutral,0
1318975509951401990,kpmg,2020-10-21,23:30:41,"TSAs usually cover multiple areas, especially administrative functions. Carefully defining all relevant terms is critical to avoid future conflicts and share-price impacts.  https://t.co/9l0gvntmMO  https://t.co/3GbavodMNW",267939430,530,[],[],0,12,1,0,['https://social.kpmg/czegr'],tsas usually cover multiple areas especially administrative functions carefully defining all relevant terms is critical to avoid future conflicts and shareprice impacts,0.00714285714285715,Neutral,0
1318916190245453825,kpmg,2020-10-21,19:34:58,"Read our latest 2020 KPMG Enterprise Global Family Business Tax Monitor report, to learn more about the tax implications of transferring a family business:  https://t.co/RlMdqO15c8  https://t.co/KKYtYCxUPX",267939430,530,[],[],0,9,1,0,['https://social.kpmg/8j3q3'],read our latest 2020 kpmg enterprise global family business tax monitor report to learn more about the tax implications of transferring a family business,0.3333333333333333,Positive,1
1318660622675042304,kpmg,2020-10-21,02:39:26,Move from cyber uncertainty to cyber serenity. Learn more here:  https://t.co/YlhM5tYxZg #cybersecurity  https://t.co/vL44Sv4FTL,267939430,530,[],['cybersecurity'],0,13,9,0,['https://social.kpmg/tkglx'],move from cyber uncertainty to cyber serenity learn more here cybersecurity,0.5,Positive,1
1318229572186460160,kpmg,2020-10-19,22:06:36,KPMG #CEO Outlook private sector insights for government from @LizForsythKPMG   https://t.co/npRUMFsrOd,267939430,530,['LizForsythKPMG'],['CEO'],0,14,8,0,['https://social.kpmg/69a3v'],kpmg ceo outlook private sector insights for government from lizforsythkpmg,0.0,Neutral,0
1318226312364961804,kpmg,2020-10-19,21:53:38,8 key #cybersecurity considerations to help shape a new approach to security in the new reality.  https://t.co/LggQNuf1Ir  https://t.co/l1EhXASFCN,267939430,530,[],['cybersecurity'],0,9,10,0,['https://social.kpmg/t2zl6'],8 key cybersecurity considerations to help shape a new approach to security in the new reality,0.0909090909090909,Neutral,0
1317193760854495234,kpmg,2020-10-17,01:30:39,"About 60% of CEOs and EVPs say that their organizations consider #HR to be an ""administrator"" rather than a value driver; 74% of CHROs disagree.  https://t.co/IuFtDc5G19  https://t.co/7aMeNw2tXg",267939430,530,[],['HR'],0,14,3,0,['https://social.kpmg/4zapv'],about 60 of ceos and evps say that their organizations consider hr to be an administrator rather than a value driver 74 of chros disagree,0.0,Neutral,0
1317163552344559617,kpmg,2020-10-16,23:30:37,Financial statements must often be prepared because historical financial information may not appropriately reflect the economic activities of the carve-out business. Read more:  https://t.co/9l0gvntmMO  https://t.co/HLF2Q6I1S5,267939430,530,[],[],0,10,2,0,['https://social.kpmg/czegr'],financial statements must often be prepared because historical financial information may not appropriately reflect the economic activities of the carveout business read more,0.075,Neutral,0
1317148499721572355,kpmg,2020-10-16,22:30:48,The global #pandemic accelerated the pace of change and the finance function finds itself in a unique position to be at the heart of change across an organization.  https://t.co/sdxYhINwf0  https://t.co/xHz6RQuHMo,267939430,530,[],['pandemic'],0,12,3,0,['https://social.kpmg/ubpan'],the global pandemic accelerated the pace of change and the finance function finds itself in a unique position to be at the heart of change across an organization,0.1875,Positive,1
1317103302610440192,kpmg,2020-10-16,19:31:12,"Despite impacts of COVID-19, Europe recorded second highest quarter of VC #fintech investment in Q2'20, while Middle East sprouting new early stage fintech hubs. Read more in the latest #fintechpulse:  https://t.co/YNJRRhSUo5  https://t.co/ih7QTR44xC",267939430,530,[],"['fintech', 'fintechpulse']",1,13,9,1,['https://social.kpmg/dauzw'],despite impacts of covid19 europe recorded second highest quarter of vc fintech investment in q220 while middle east sprouting new early stage fintech hubs read more in the latest fintechpulse,0.20606060606060606,Positive,1
1316841050615537671,kpmg,2020-10-16,02:09:06,5 areas that #realestate companies should focus on in the post-COVID-19 new reality.   https://t.co/Dafw5cd3JB,267939430,530,[],['realestate'],1,19,8,1,['https://social.kpmg/sj6cb'],5 areas that realestate companies should focus on in the postcovid19 new reality,0.13636363636363635,Positive,1
1316721222856716293,kpmg,2020-10-15,18:12:57,Do you know what apps are on your kid’s phone and how they’re used?  https://t.co/ircCQyMLZq,267939430,530,[],[],1,5,2,1,['https://social.kpmg/65bxy'],do you know what apps are on your kids phone and how theyre used,0.0,Neutral,0
1316438796016259073,kpmg,2020-10-14,23:30:41,"These transactions' inherent complexities and interdependencies require a comprehensive project management office that steers, monitors, and manages the process.  https://t.co/9l0gvntmMO  https://t.co/gCTzWVjDWm",267939430,530,[],[],1,7,3,1,['https://social.kpmg/czegr'],these transactions inherent complexities and interdependencies require a comprehensive project management office that steers monitors and manages the process,0.0,Neutral,0
