id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count,retweets_count,replies_count.1,cleaned_review,sentiment_polarity,sentiment,sentiment_int
1322689164802957312,mckinsey,2020-11-01,05:27:25,"Visualize the physical, economic and emotional impact of COVID-19 in a whole new way through our interactive data displays:  https://t.co/MHqH7d30rn #dataviz  https://t.co/7854iT2DRV",34042766,530,[],['dataviz'],0,9,5,0,visualize the physical economic and emotional impact of covid19 in a whole new way through our interactive data displays dataviz,0.10727272727272727,Positive,1
1322673238514819072,mckinsey,2020-11-01,04:24:08,"Don’t get what McKinsey consultants actually do? You’re not alone. We put this fun tale together to show kids how we helped farmers feed hungry fish. Who knows, maybe you will learn something new too.  https://t.co/vzEa4QrgUj  https://t.co/kJmJi2pIa6",34042766,530,[],[],3,29,5,3,dont get what mckinsey consultants actually do youre not alone we put this fun tale together to show kids how we helped farmers feed hungry fish who knows maybe you will learn something new too,0.14545454545454545,Positive,1
1322659617038630914,mckinsey,2020-11-01,03:30:01,The COVID-19 pandemic has accelerated a trend in workplace dynamics. Building your reskilling muscle now is the first step to ensuring that your organization’s recovery business model is a success.   https://t.co/rDfkkiCUVj  https://t.co/I3JnUy8W4V,34042766,530,[],[],0,16,6,0,the covid19 pandemic has accelerated a trend in workplace dynamics building your reskilling muscle now is the first step to ensuring that your organizations recovery business model is a success,0.275,Positive,1
1322645274234413056,mckinsey,2020-11-01,02:33:01,"Purpose has become more than just a buzzword—it’s a top priority for organizations during the pandemic. At the @FortuneMagazine Global Forum, McKinsey leaders explored the role of purpose plus two other key business themes for 2020 and beyond:  https://t.co/YJcEfv2BCu  https://t.co/rsq9tlSLvp",34042766,530,['FortuneMagazine'],[],0,16,5,0,purpose has become more than just a buzzwordits a top priority for organizations during the pandemic at the fortunemagazine global forum mckinsey leaders explored the role of purpose plus two other key business themes for 2020 and beyond,0.175,Positive,1
1322628914439663616,mckinsey,2020-11-01,01:28:01,"Herd immunity? Vaccine? Will 2021 bring an end to this #pandemic? No one has a crystal ball that can give us the answers we need, but there are two important definitions of “end,” each with a separate timeline:  https://t.co/0FeECGPLDr  https://t.co/3gGeY7u7fh",34042766,530,[],['pandemic'],0,28,12,0,herd immunity vaccine will 2021 bring an end to this pandemic no one has a crystal ball that can give us the answers we need but there are two important definitions of end each with a separate timeline,0.4,Positive,1
1322614320837103618,mckinsey,2020-11-01,00:30:01,"Our Black Leadership Academy aims to equip Black business leaders with the capabilities, mindsets, behaviors, and network they need to achieve their professional aspirations.  https://t.co/Pn8226Kr3c  https://t.co/EPLYTn9ORu",34042766,530,[],[],1,11,0,1,our black leadership academy aims to equip black business leaders with the capabilities mindsets behaviors and network they need to achieve their professional aspirations,-0.07777777777777777,Neutral,0
1322599339752083456,mckinsey,2020-10-31,23:30:29,10 tips for planning and running remote meetings.  https://t.co/mhopzObIZq,34042766,530,[],[],0,32,9,0,10 tips for planning and running remote meetings,-0.1,Negative,-1
1322584202878078976,mckinsey,2020-10-31,22:30:21,"""What now?""—that's the question on leaders' minds after 6 months of making significant changes to their businesses in response to COVID-19. We lay out 10 ten actions leaders should take now; plus, a new downloadable curated collection of insights:  https://t.co/eD95bqmYI0  https://t.co/cVkWXuxafB",34042766,530,[],[],0,6,2,0,what nowthats the question on leaders minds after 6 months of making significant changes to their businesses in response to covid19 we lay out 10 ten actions leaders should take now plus a new downloadable curated collection of insights,0.17045454545454544,Positive,1
1322576818562605057,mckinsey,2020-10-31,22:01:00,What will it take to bring a #COVID19 vaccine to market? Global managing partner Kevin Sneader gives an overview of the challenges in his latest @gzeromedia Business #In60Seconds video. Find every episode here:  https://t.co/nNzpf25MpO  https://t.co/qMhZhMRqcB,34042766,530,['gzeromedia'],"['COVID19', 'In60Seconds']",1,6,2,1,what will it take to bring a covid19 vaccine to market global managing partner kevin sneader gives an overview of the challenges in his latest gzeromedia business in60seconds video find every episode here,0.25,Positive,1
1322569029727457280,mckinsey,2020-10-31,21:30:03,"Amid rising student debt levels, disparities, and #COVID19, the higher-education sector faces significant challenges—but change is possible. Here are five questions that could help leaders reimagine #education in the next normal:  https://t.co/oFqwKM9vwb  https://t.co/8E8F6K4Vww",34042766,530,[],"['COVID19', 'education']",0,5,3,0,amid rising student debt levels disparities and covid19 the highereducation sector faces significant challengesbut change is possible here are five questions that could help leaders reimagine education in the next normal,0.13125,Positive,1
