id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count,retweets_count,replies_count.1,cleaned_review,sentiment_polarity,sentiment,sentiment_int
1141747895433121793,bethbrooke_ey,2019-06-20,22:11:25,A very good article that paints the picture of what is real and disturbing for so many #LGBT people:  https://t.co/cTiUNkzQxu #Pride #ProudToBelong,991285075,530,[],"['LGBT', 'Pride', 'ProudToBelong']",0,6,1,0,a very good article that paints the picture of what is real and disturbing for so many lgbt people pride proudtobelong,0.27749999999999997,Positive,1
1135542267815583744,bethbrooke_ey,2019-06-03,19:12:28,"Thrilled to announce that our @VitalVoices President and CEO @AlyseNelson was named one of @apoliticalco's 100 Most Influential People in #GenderPolicy 2019! Alyse joins leaders like @MichelleObama, @melindagates and more. https://t.co/wchMzYb84d …",991285075,530,"['VitalVoices', 'AlyseNelson', 'apoliticalco', 'MichelleObama', 'melindagates']",['GenderPolicy'],7,9,2,7,thrilled to announce that our vitalvoices president and ceo alysenelson was named one of apoliticalcos 100 most influential people in genderpolicy 2019 alyse joins leaders like michelleobama melindagates and more,0.5333333333333333,Positive,1
1131243485175189509,bethbrooke_ey,2019-05-22,22:30:39,Congratulations @Jeff__Wong and to all the new @AspenInstitute Finance Leaders Fellows!,991285075,530,"['Jeff__Wong', 'AspenInstitute']",[],0,0,0,0,congratulations jeffwong and to all the new aspeninstitute finance leaders fellows,0.13636363636363635,Positive,1
1130507119080476672,bethbrooke_ey,2019-05-20,21:44:35,@stonewalluk A great sign of progress!,991285075,530,['stonewalluk'],[],0,2,0,0,stonewalluk a great sign of progress,0.8,Positive,1
1129386400837771264,bethbrooke_ey,2019-05-17,19:31:15,"Today is International Day Against Homophobia, Transphobia &amp; Biphobia. Businesses can’t control laws of countries, but they can control their culture. Proud EY is accelerating #LGBT equality globally. # https://www.weforum.org/our-impact/LGBTI-equality-in-workplace #ProudToBelong  https://t.co/TniuJktBh1",991285075,530,[],"['LGBT', 'ProudToBelong']",0,58,13,0,today is international day against homophobia transphobia amp biphobia businesses cant control laws of countries but they can control their culture proud ey is accelerating lgbt equality globally proudtobelong,0.26666666666666666,Positive,1
1129130688744165395,bethbrooke_ey,2019-05-17,02:35:09,Congratulations @CathyEngelbert - thrilled for you and so well deserved!,991285075,530,['CathyEngelbert'],[],0,1,0,0,congratulations cathyengelbert thrilled for you and so well deserved,0.6,Positive,1
1125892302461972480,bethbrooke_ey,2019-05-08,04:06:57,"Looking forward to the @OutRightIntl Celebration of Courage at @ChelseaPiersNYC this evening. We all need to be visible, outspoken role models, and advocate for #LGBTI inclusion around the world.",991285075,530,"['OutRightIntl', 'ChelseaPiersNYC']",['LGBTI'],0,11,0,0,looking forward to the outrightintl celebration of courage at chelseapiersnyc this evening we all need to be visible outspoken role models and advocate for lgbti inclusion around the world,0.0,Neutral,0
1114218288031109120,bethbrooke_ey,2019-04-05,22:58:35,Honored to be part of the,991285075,530,[],[],0,32,4,0,honored to be part of the,0.0,Neutral,0
1095865074504396800,bethbrooke_ey,2019-02-14,07:29:28,The definition of fearless: @lindseyvonn. Great quote from our @EYWomenAthletes lead advisor @devarona64 #SportsMadeMe  https://t.co/7gzJa7lP2V,991285075,530,"['lindseyvonn', 'EYWomenAthletes', 'devarona64']",['SportsMadeMe'],0,10,1,0,the definition of fearless lindseyvonn great quote from our eywomenathletes lead advisor devarona64 sportsmademe,0.8,Positive,1
1092544704468738049,bethbrooke_ey,2019-02-05,03:35:30,"72 countries still have laws that criminalize sexual orientation &amp; gender identity. To make social progress, businesses must take a stand to help accelerate #LGBTI equality:  https://t.co/yIbiRHFXYp #BetterWorkingWorld",991285075,530,[],"['LGBTI', 'BetterWorkingWorld']",1,7,3,1,72 countries still have laws that criminalize sexual orientation amp gender identity to make social progress businesses must take a stand to help accelerate lgbti equality betterworkingworld,0.26666666666666666,Positive,1
