id,username,date,time,tweet,user_id,timezone,mentions,hashtags,replies_count,likes_count,retweets_count,replies_count.1,cleaned_review,sentiment_polarity,sentiment,sentiment_int
1265628573412593664,stevekrouskos,2020-05-27,18:29:00,"As companies look to reshape their future beyond #COVID19, divestments will enable them to rebalance their portfolios towards growth. Find out more in the latest Global Corporate Divestment Study:  https://t.co/92FhG7vxZf  https://t.co/Cpoyp7IMu4",3429764050,530,[],['COVID19'],0,1,1,0,as companies look to reshape their future beyond covid19 divestments will enable them to rebalance their portfolios towards growth find out more in the latest global corporate divestment study,0.2,Positive,1
1257283560454664193,stevekrouskos,2020-05-04,17:48:54,"#COVID19 will reinforce existing trends that have enabled consolidation in the past years. Great read from David Lambert, EY Global Insurance Transactions Leader.  https://t.co/TyBAHvYUwB",3429764050,530,[],['COVID19'],0,2,1,0,covid19 will reinforce existing trends that have enabled consolidation in the past years great read from david lambert ey global insurance transactions leader,0.18333333333333335,Positive,1
1254735644380803077,stevekrouskos,2020-04-27,17:04:24,Our people all over the world are supporting communities and clients through #COVID19 every day. Looking forward to hearing their inspirational stories. #BetterWorkingWorld #BetterTogether,3429764050,530,[],"['COVID19', 'BetterWorkingWorld', 'BetterTogether']",0,0,0,0,our people all over the world are supporting communities and clients through covid19 every day looking forward to hearing their inspirational stories betterworkingworld bettertogether,0.375,Positive,1
1253255655428894721,stevekrouskos,2020-04-23,15:03:27,Proud to see EY support a fantastic initiative by @EU_Commission. Finding innovative solutions to tackle #COVID19 is key. Find out how you can get involved.,3429764050,530,['EU_Commission'],['COVID19'],0,1,0,0,proud to see ey support a fantastic initiative by eucommission finding innovative solutions to tackle covid19 is key find out how you can get involved,0.42500000000000004,Positive,1
1253255654455853056,stevekrouskos,2020-04-23,15:03:27,"Executives need to address challenges now but also plan for what’s next to secure long-term growth and accelerate the upturn. #MnA has stalled due to Covid-19 but as this Reuters article concludes, executives will look beyond the current crisis. #EYCCB    https://t.co/VE7vN7bQEN",3429764050,530,[],"['MnA', 'EYCCB']",0,0,0,0,executives need to address challenges now but also plan for whats next to secure longterm growth and accelerate the upturn mna has stalled due to covid19 but as this reuters article concludes executives will look beyond the current crisis eyccb,0.06875,Neutral,0
1252932519307116544,stevekrouskos,2020-04-22,17:39:25,"As businesses navigate the impact of #COVID19 now, they also try to understand what’s next - the shape the recovery will take. Great insights in this piece by @Forbes using latest #EYCCB findings:  https://t.co/9bhdlWkDsq",3429764050,530,['Forbes'],"['COVID19', 'EYCCB']",0,3,3,0,as businesses navigate the impact of covid19 now they also try to understand whats next the shape the recovery will take great insights in this piece by forbes using latest eyccb findings,0.43333333333333335,Positive,1
1244716025968570369,stevekrouskos,2020-03-31,01:30:00,Thanks to @richardquest @questCNN for having me on to talk about the impact of #COVID19 on #MnA and corporate strategies. Find out more:  https://t.co/n9ljHRySSR #EYCCB,3429764050,530,"['richardquest', 'questCNN']","['COVID19', 'MnA', 'EYCCB']",0,0,1,0,thanks to richardquest questcnn for having me on to talk about the impact of covid19 on mna and corporate strategies find out more eyccb,0.2333333333333333,Positive,1
1244660120774217733,stevekrouskos,2020-03-30,21:47:52,"Enjoyed talking to @BloombergRadio about the impact of #COVID19 on the #MnA landscape. Despite the crisis, the imperative to transform remains strong with deal-making appetite at strong levels as the C-Suite plans for the future. Listen in:  https://t.co/FMS8ol2CIo #EYCCB",3429764050,530,['BloombergRadio'],"['COVID19', 'MnA', 'EYCCB']",0,4,3,0,enjoyed talking to bloombergradio about the impact of covid19 on the mna landscape despite the crisis the imperative to transform remains strong with dealmaking appetite at strong levels as the csuite plans for the future listen in eyccb,0.3416666666666667,Positive,1
1244614083414044677,stevekrouskos,2020-03-30,18:44:55,The impact of #COVID19 cannot be underestimated. Find out how the C-Suite is grappling with the impact of this crisis by reshaping its capital strategy while planning for the future. #EYCCB,3429764050,530,[],"['COVID19', 'EYCCB']",0,3,2,0,the impact of covid19 cannot be underestimated find out how the csuite is grappling with the impact of this crisis by reshaping its capital strategy while planning for the future eyccb,0.0,Neutral,0
1225719349169836032,stevekrouskos,2020-02-07,15:24:00,Excited to be taking up this new role and enabling our teams globally to help our clients deliver long term value. #BetterWorkingWorld.,3429764050,530,[],['BetterWorkingWorld'],1,11,0,1,excited to be taking up this new role and enabling our teams globally to help our clients deliver long term value betterworkingworld,0.11534090909090909,Positive,1
1217385802088550401,stevekrouskos,2020-01-15,15:29:27,"Huge congratulations to @SteveVarleyEY on his appointment as EY’s first Global Vice Chair for Sustainability. His role will be crucial in our ambition to be recognized as a market leader in sustainability, in both the services we provide and our operations. #BetterWorkingWorld",3429764050,530,['SteveVarleyEY'],['BetterWorkingWorld'],1,9,2,1,huge congratulations to stevevarleyey on his appointment as eys first global vice chair for sustainability his role will be crucial in our ambition to be recognized as a market leader in sustainability in both the services we provide and our operations betterworkingworld,0.16250000000000003,Positive,1
1187038671352008707,stevekrouskos,2019-10-23,21:40:48,"Thanks to @CNBCJou and @CNBCJulianna at #StreetSignsEurope. Enjoyed talking M&amp;A, cross-border investments and the trillions of investable capital globally looking for a home!  https://t.co/pwu6k3I7m4 #EYCCB",3429764050,530,"['CNBCJou', 'CNBCJulianna']","['StreetSignsEurope', 'EYCCB']",0,6,5,0,thanks to cnbcjou and cnbcjulianna at streetsignseurope enjoyed talking mampa crossborder investments and the trillions of investable capital globally looking for a home eyccb,0.2333333333333333,Positive,1
1184024042296266752,stevekrouskos,2019-10-15,14:01:44,"Enjoyed talking M&amp;A, top international investment destinations and a shared love of London! @richardquest @questCNN Find out what global businesses are thinking in the 21st Edition of #EYCCB #QMB  https://t.co/nWDeEGNoHf",3429764050,530,"['richardquest', 'questCNN']","['EYCCB', 'QMB']",0,3,1,0,enjoyed talking mampa top international investment destinations and a shared love of london richardquest questcnn find out what global businesses are thinking in the 21st edition of eyccb qmb,0.25,Positive,1
1122542745858473985,stevekrouskos,2019-04-28,22:17:01,Companies have learned to harness uncertainty to promote growth be it through #MnA or organically. My reflections on the 10th anniversary of #EYCCB ahead of #MIGlobal Conference:  https://t.co/cRm10hiQGy #BetterWorkingWorld  @EY_TAS  https://t.co/AlqbiIwGO9,3429764050,530,['EY_TAS'],"['MnA', 'EYCCB', 'MIGlobal', 'BetterWorkingWorld']",0,4,2,0,companies have learned to harness uncertainty to promote growth be it through mna or organically my reflections on the 10th anniversary of eyccb ahead of miglobal conference betterworkingworld eytas,0.0,Neutral,0
1119584587225739264,stevekrouskos,2019-04-20,18:22:21,Annual Easter Bunny Hop complete!  https://t.co/PPgAPpCbPR,3429764050,530,[],[],2,13,0,2,annual easter bunny hop complete,0.1,Positive,1
1117859495827218432,stevekrouskos,2019-04-16,00:07:27,As always enjoyed talking #MnA with @cnbcKaren and @GeoffCutmore on @CNBC’s @SquawkBoxEurope. Global #MnA market will strengthen fueled by portfolio reshaping as companies build resilience into their operating models. #EYCCB @EY_TAS  https://t.co/GOZ12wGGkL,3429764050,530,"['cnbcKaren', 'GeoffCutmore', 'CNBC', 'SquawkBoxEurope', 'EY_TAS']","['MnA', 'MnA', 'EYCCB']",0,13,3,0,as always enjoyed talking mna with cnbckaren and geoffcutmore on cnbcs squawkboxeurope global mna market will strengthen fueled by portfolio reshaping as companies build resilience into their operating models eyccb eytas,0.25,Positive,1
1117858457514913799,stevekrouskos,2019-04-16,00:03:19,"@cnbcKaren @SquawkBoxEurope That’s right @cnbcKaren. Going forward, even more companies will review their portfolios quarterly and continuously for maximum agility. #EYCCB",3429764050,530,"['cnbcKaren', 'SquawkBoxEurope', 'cnbcKaren']",['EYCCB'],0,0,0,0,cnbckaren squawkboxeurope thats right cnbckaren going forward even more companies will review their portfolios quarterly and continuously for maximum agility eyccb,0.39285714285714285,Positive,1
1103692145591046145,stevekrouskos,2019-03-07,21:51:27,#SheBelongs in @EY_TAS! We're turning the rhetoric to reality with tangible steps. Our #EYCorporateFinanceWomanOfTheYear program alone helped us increase the number of female applicants by 5% to 42% globally and attract the best talent. Happy #IWD2019! #WomenFastForward @EY_WFF  https://t.co/VdOkC8VV8Z,3429764050,530,"['EY_TAS', 'EY_WFF']","['SheBelongs', 'EYCorporateFinanceWomanOfTheYear', 'IWD2019', 'WomenFastForward']",0,21,12,0,shebelongs in eytas were turning the rhetoric to reality with tangible steps our eycorporatefinancewomanoftheyear program alone helped us increase the number of female applicants by 5 to 42 globally and attract the best talent happy iwd2019 womenfastforward eywff,0.45,Positive,1
1103251635726372866,stevekrouskos,2019-03-06,16:41:02,"Our #EYCorporateFinanceWomanOfTheYear program is helping us attract the best talent and increased the number of female applicants into @EY_TAS grew by 5% to 42% globally, and continues to rise.  https://t.co/TJcY6uMGDN #SheBelongs #WomenFastForward #IWD2019 @EY_WFF  https://t.co/bP4Y1dpHpA",3429764050,530,"['EY_TAS', 'EY_WFF']","['EYCorporateFinanceWomanOfTheYear', 'SheBelongs', 'WomenFastForward', 'IWD2019']",0,7,1,0,our eycorporatefinancewomanoftheyear program is helping us attract the best talent and increased the number of female applicants into eytas grew by 5 to 42 globally and continues to rise shebelongs womenfastforward iwd2019 eywff,0.3333333333333333,Positive,1
1101806002096295937,stevekrouskos,2019-03-02,16:56:36,片倉さんおめでとうございます!,3429764050,530,[],[],0,2,0,0,,0.0,Neutral,0
1100691308816068609,stevekrouskos,2019-02-27,15:07:12,"@jackie_deals Thank you, @jackie_deals! @BloombergDeals @business",3429764050,530,"['jackie_deals', 'jackie_deals', 'BloombergDeals', 'business']",[],0,1,0,0,jackiedeals thank you jackiedeals bloombergdeals business,0.0,Neutral,0
1096053252511158273,stevekrouskos,2019-02-14,19:57:13,I am looking forward to welcoming all global #EYCorporateFinanceWomanOfTheYear finalists in London in 12 days time. @EY_Australia @EY_Belgium @EYFrance @EY_Germany @EY_India @Japan_EY @ey_mena @EYMexico @EY_Nederland @EY_Norge @EY_Russia @EY_Singapore @EY_UKI @EY_US #SheBelongs  https://t.co/IkaR8yGgEC,3429764050,530,"['EY_Australia', 'EY_Belgium', 'EYFrance', 'EY_Germany', 'EY_India', 'Japan_EY', 'ey_mena', 'EYMexico', 'EY_Nederland', 'EY_Norge', 'EY_Russia', 'EY_Singapore', 'EY_UKI', 'EY_US']","['EYCorporateFinanceWomanOfTheYear', 'SheBelongs']",0,19,12,0,i am looking forward to welcoming all global eycorporatefinancewomanoftheyear finalists in london in 12 days time eyaustralia eybelgium eyfrance eygermany eyindia japaney eymena eymexico eynederland eynorge eyrussia eysingapore eyuki eyus shebelongs,0.0,Neutral,0
1082538333811761159,stevekrouskos,2019-01-08,12:53:46,"As always, enjoyed talking #MnA and #PortfolioReshaping (much easier to say than deconglomerization) with @cnbcKaren and @Steve_Sedgwick this morning on @SquawkBoxEurope at @CNBC. @CNBCi @EY_TAS @EYnews @EY_Press",3429764050,530,"['cnbcKaren', 'Steve_Sedgwick', 'SquawkBoxEurope', 'CNBC', 'CNBCi', 'EY_TAS', 'EYnews', 'EY_Press']","['MnA', 'PortfolioReshaping']",0,13,5,0,as always enjoyed talking mna and portfolioreshaping much easier to say than deconglomerization with cnbckaren and stevesedgwick this morning on squawkboxeurope at cnbc cnbci eytas eynews eypress,0.35,Positive,1
